file_nm,element_id,amount,unit_ref,decimals,contextref
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netincomelosssummaryofbusinessresults,2737111000,,-3,Prior4YearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netincomelosssummaryofbusinessresults,4516998000,,-3,Prior3YearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netincomelosssummaryofbusinessresults,4507932000,,-3,Prior2YearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netincomelosssummaryofbusinessresults,2312741000,,-3,Prior1YearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netincomelosssummaryofbusinessresults,2054808000,,-3,CurrentYearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:capitalstocksummaryofbusinessresults,1373364000,,-3,Prior4YearInstant_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:capitalstocksummaryofbusinessresults,1387098000,,-3,Prior3YearInstant_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:capitalstocksummaryofbusinessresults,1387098000,,-3,Prior2YearInstant_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:capitalstocksummaryofbusinessresults,1387098000,,-3,Prior1YearInstant_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:capitalstocksummaryofbusinessresults,1387098000,,-3,CurrentYearInstant_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:totalnumberofissuedsharessummaryofbusinessresults,27089400,,0,Prior4YearInstant_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:totalnumberofissuedsharessummaryofbusinessresults,27121400,,0,Prior3YearInstant_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:totalnumberofissuedsharessummaryofbusinessresults,27121400,,0,Prior2YearInstant_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:totalnumberofissuedsharessummaryofbusinessresults,27121400,,0,Prior1YearInstant_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:totalnumberofissuedsharessummaryofbusinessresults,27121400,,0,CurrentYearInstant_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netassetssummaryofbusinessresults,21965889000,,-3,Prior4YearInstant_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netassetssummaryofbusinessresults,37550120000,,-3,Prior3YearInstant_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netassetssummaryofbusinessresults,37449687000,,-3,Prior2YearInstant_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netassetssummaryofbusinessresults,38018743000,,-3,Prior1YearInstant_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netassetssummaryofbusinessresults,39466725000,,-3,CurrentYearInstant_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:totalassetssummaryofbusinessresults,32436772000,,-3,Prior4YearInstant_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:totalassetssummaryofbusinessresults,55780343000,,-3,Prior3YearInstant_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:totalassetssummaryofbusinessresults,52727608000,,-3,Prior2YearInstant_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:totalassetssummaryofbusinessresults,50638644000,,-3,Prior1YearInstant_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:totalassetssummaryofbusinessresults,51479053000,,-3,CurrentYearInstant_NonConsolidatedMember
